epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,446.924,1.01203,0.95434,1.21822,0.79697,0.65653,0.70991,0.38255,1.54065,1.05116,1.53746,0.000544354,0.000544354,0.000544354
14,481.748,1.00902,0.94093,1.2079,0.82878,0.66885,0.74416,0.40163,1.54525,0.97142,1.59378,0.000530216,0.000530216,0.000530216
15,516.75,0.98872,0.91105,1.19554,0.84992,0.65748,0.738,0.40093,1.48618,0.96898,1.55204,0.000516079,0.000516079,0.000516079
16,551.691,0.97865,0.89776,1.18707,0.87761,0.66085,0.7606,0.41885,1.50757,0.92927,1.53213,0.000501942,0.000501942,0.000501942
17,586.845,0.97504,0.88663,1.18325,0.84405,0.67107,0.75486,0.3992,1.59678,0.93259,1.61012,0.000487805,0.000487805,0.000487805
18,624.588,0.9677,0.85858,1.17344,0.86918,0.69907,0.77405,0.43629,1.48286,0.8772,1.51526,0.000473668,0.000473668,0.000473668
19,669.132,0.94542,0.83068,1.16046,0.83311,0.68125,0.75392,0.43242,1.399,0.9075,1.45168,0.00045953,0.00045953,0.00045953
20,712.399,0.93918,0.81702,1.15931,0.88112,0.65405,0.75124,0.43863,1.3799,0.87986,1.44478,0.000445393,0.000445393,0.000445393
21,755.222,0.92609,0.80731,1.15141,0.81684,0.73667,0.77813,0.44011,1.43014,0.87435,1.47636,0.000431256,0.000431256,0.000431256
22,798.13,0.90894,0.79336,1.14411,0.85965,0.70047,0.77391,0.45243,1.40303,0.85914,1.4952,0.000417119,0.000417119,0.000417119
23,841.144,0.91208,0.79107,1.14383,0.89461,0.71902,0.78927,0.46146,1.37453,0.83663,1.47593,0.000402982,0.000402982,0.000402982
24,884.125,0.90044,0.7659,1.12784,0.8507,0.7019,0.78171,0.47011,1.39392,0.84933,1.4532,0.000388844,0.000388844,0.000388844
25,927.256,0.88826,0.7549,1.12901,0.84231,0.73104,0.78776,0.45895,1.39327,0.80881,1.44392,0.000374707,0.000374707,0.000374707
26,970.225,0.88742,0.74401,1.12513,0.87686,0.73136,0.79292,0.4792,1.33833,0.78897,1.40964,0.00036057,0.00036057,0.00036057
27,1013.25,0.87444,0.73652,1.11882,0.87279,0.72184,0.79201,0.46734,1.36536,0.8206,1.4232,0.000346433,0.000346433,0.000346433
28,1056.27,0.86329,0.7189,1.11036,0.88602,0.72004,0.7963,0.47479,1.36497,0.78232,1.42386,0.000332296,0.000332296,0.000332296
29,1099.37,0.86668,0.71595,1.11405,0.86191,0.74341,0.80001,0.47785,1.31309,0.78691,1.42992,0.000318158,0.000318158,0.000318158
30,1142.54,0.84315,0.69365,1.09848,0.87739,0.71829,0.80101,0.49007,1.33864,0.77695,1.41793,0.000304021,0.000304021,0.000304021
31,1185.86,0.84174,0.68955,1.0945,0.86215,0.74328,0.80759,0.48459,1.28417,0.75658,1.36303,0.000289884,0.000289884,0.000289884
32,1228.95,0.83102,0.677,1.09219,0.90492,0.73696,0.81096,0.48444,1.34962,0.75074,1.41776,0.000275747,0.000275747,0.000275747
33,1271.94,0.81939,0.66284,1.08594,0.91332,0.71738,0.81173,0.4759,1.32818,0.76599,1.41733,0.00026161,0.00026161,0.00026161
34,1314.88,0.8202,0.66205,1.08179,0.8797,0.76574,0.81845,0.50189,1.27036,0.72922,1.35628,0.000247472,0.000247472,0.000247472
35,1357.8,0.80831,0.64956,1.07788,0.86345,0.76596,0.80638,0.50001,1.28329,0.74209,1.34771,0.000233335,0.000233335,0.000233335
36,1400.62,0.797,0.63418,1.06827,0.90086,0.75005,0.82276,0.50424,1.2819,0.70332,1.35631,0.000219198,0.000219198,0.000219198
37,1443.45,0.78734,0.62597,1.06567,0.89704,0.74263,0.81777,0.50094,1.27727,0.71275,1.35962,0.000205061,0.000205061,0.000205061
38,1486.31,0.78188,0.61644,1.0617,0.88248,0.75593,0.82119,0.50623,1.27904,0.73754,1.36572,0.000190924,0.000190924,0.000190924
39,1529.02,0.77677,0.61043,1.05696,0.90731,0.7465,0.83013,0.5284,1.22303,0.71556,1.30747,0.000176786,0.000176786,0.000176786
40,1571.91,0.77221,0.61105,1.05397,0.89003,0.76678,0.82765,0.523,1.24676,0.68409,1.32223,0.000162649,0.000162649,0.000162649
41,1614.77,0.77617,0.53425,1.04905,0.87754,0.75791,0.82364,0.52618,1.20336,0.69548,1.29881,0.000148512,0.000148512,0.000148512
